,body,Amir,Ali,Misagh,
2611,        mSelectImage2 = (ImageButton) findViewById(R.id.imageSelect2);,,,,
2612,        mPostTitle = (EditText) findViewById(R.id.titleField);,,,,
2613,        mPostDesc = (EditText) findViewById(R.id.descField);,,,,
2614,        mPostNumber = (EditText) findViewById(R.id.phoneField);,,,,
2615,        mPostPass = (EditText) findViewById(R.id.passField);,,,,
2616,        mPostInfo = (EditText) findViewById(R.id.otherField);,,,,
2617,        mPostSteps = (EditText) findViewById(R.id.stepsField);,,,,
2618,        mPostPolice = (EditText) findViewById(R.id.policeField);,,,,
2619,        mProgress = new ProgressDialog(this);,,,,
2620,        mSubmitBtn = (Button) findViewById(R.id.submitBtn);,,,,
2621,        mSelectImage.setOnClickListener(new View.OnClickListener() {,,,,
2622,            public void onClick(View view) {,,,,
2623,                Intent galleryIntent = new Intent(Intent.ACTION_GET_CONTENT);,,,,
2624,"                galleryIntent.putExtra(Intent.EXTRA_ALLOW_MULTIPLE, true);",,,,
2625,"                startActivityForResult(galleryIntent, GALLERY_REQUEST);",,,,
2626,        mSelectImage1.setOnClickListener(new View.OnClickListener() {,,,,
2627,            public void onClick(View view) {,,,,
2628,                Intent galleryIntent = new Intent(Intent.ACTION_GET_CONTENT);,,,,
2629,"                galleryIntent.putExtra(Intent.EXTRA_ALLOW_MULTIPLE, true);",,,,
2630,"                startActivityForResult(galleryIntent, GALLERY_REQUEST2);",,,,
2631,        mSelectImage2.setOnClickListener(new View.OnClickListener() {,,,,
2632,            public void onClick(View view) {,,,,
2633,                Intent galleryIntent = new Intent(Intent.ACTION_GET_CONTENT);,,,,
2634,"                galleryIntent.putExtra(Intent.EXTRA_ALLOW_MULTIPLE, true);",,,,
2635,"                startActivityForResult(galleryIntent, GALLERY_REQUEST3);",,,,
2636,        mSubmitBtn.setOnClickListener(new View.OnClickListener() {,,,,
2637,            public void onClick(View view) {,,,,
2638,    private void startPosting() {,,,,
2639,"        mProgress.setMessage(""Adding a Tapeli..."");",,,,
2640,        final String title_val = mPostTitle.getText().toString().trim();,,,,
2641,        final String desc_val = mPostDesc.getText().toString().trim();,,,,
2642,        final String namba_val = mPostNumber.getText().toString().trim();,,,,
2643,        final String pass_val = mPostPass.getText().toString().trim();,,,,
2644,        final String info_val = mPostInfo.getText().toString().trim();,,,,
2645,        final String steps_val = mPostSteps.getText().toString().trim();,,,,
2646,        final String police_val = mPostPolice.getText().toString().trim();,,,,
2647,        if(!TextUtils.isEmpty(title_val) && !TextUtils.isEmpty(desc_val) && mImageUri !=null){,,,,
2648,"            StorageReference filepath = mStorage.child(""Blog_Images"").child(mImageUri.getLastPathSegment());",,,,
2649,"            StorageReference filepath1 = mStorage.child(""Blog_Images"").child(mImageUri1.getLastPathSegment());",,,,
2650,"            StorageReference filepath2 = mStorage.child(""Blog_Images"").child(mImageUri2.getLastPathSegment());",,,,
2651,            filepath.putFile(mImageUri).addOnSuccessListener(new OnSuccessListener<UploadTask.TaskSnapshot>() {,,,,
2652,                public void onSuccess(UploadTask.TaskSnapshot taskSnapshot) {,,,,
2653,                    Uri downloadurl = taskSnapshot.getDownloadUrl();,,,,
2654,                    DatabaseReference newPost = mDatabase.push();,,,,
2655,"    protected void onActivityResult(int requestCode, int resultCode, Intent data) {",,,,
2656,"        super.onActivityResult(requestCode, resultCode, data);",,,,
2657,        if(requestCode == GALLERY_REQUEST && resultCode == RESULT_OK){,,,,
2658,            mImageUri = data.getData();,,,,
2659,        if(requestCode == GALLERY_REQUEST2 && resultCode == RESULT_OK){,,,,
2660,            mImageUri1 = data.getData();,,,,
2661,        if(requestCode == GALLERY_REQUEST3 && resultCode == RESULT_OK){,,,,
2662,            mImageUri2 = data.getData();,,,,
2663,['To format date and time in JSTL we can use the fmt tag as shown here,,,,
2664,I have to specify the format of the date for usage in other front end tools like the datatable.,,,,
2665,I avoided using any specific formatting with fmt and just used parameters like type or dateStyle to get a somewhat formatted output. But the problem is that datatables need to know the format of date columns to properly sort these fields.,,,,
2666,When I use parameters like,,,,
2667,"<fmt:formatDate type = ""both"" dateStyle = ""long"" timeStyle = ""long"" value = ""${now}"" />",,,,
2668,The output is: ,,,,
2669," August 23, 2017 10:52:09 AM UTC",,,,
2670,How do I specify the format of this date output as:,,,,
2671,"$.fn.dataTable.moment( \'MMMM dd, YYYY hh:mm:ss aa z\' );",,,,
2672,to get accurate sorting results.,,,,
2673,"['I got an error that I don\'t understand and it\'s about the ""testRule"" below... ",,,,
2674,grammar MyTest;,,,,
2675,myTest: line+ EOF;,,,,
2676,testRule: \'\,,,,
2677,\' ; //this produces an error - WHY?,,,,
2678,//testRule: \'\,,,,
2679,\' ; //no error,,,,
2680,//testRule: Break Break ; //no error,,,,
2681,line: Break? Break Spaces? ((Word | NormalNumbers) Spaces?)+;,,,,
2682,//lexer rules,,,,
2683,Word: (Prefix? Space? Char Char+ Space? Suffix?) | (Char Suffix?);,,,,
2684,NormalNumbers: Prefix? Numbers Suffix?;,,,,
2685,Numbers: YearNumber | OtherNumber;,,,,
2686,    : \'(\' \'1\' \'9\' Digit Digit \')\',,,,
2687,    | \'[\' \'1\' \'9\' Digit Digit \']\',,,,
2688,    | \'1\' \'9\' Digit Digit; ,,,,
2689,OtherNumber: [1-9] Digit* ;,,,,
2690,Sign: Prefix | Suffix | Special ;,,,,
2691,Spaces: Space (Space Space?)?;,,,,
2692,Space:      \' \';,,,,
2693,Tab:        \'\\t\';,,,,
2694,Break:      \'\,,,,
2695,Digit:      [0-9];,,,,
2696,Char:       [A-Z\\u00C4\\u00D6\\u00DCa-z\\u00E4\\u00F6\\u00FC\\u00DF];,,,,
2697,"Prefix:     \'""\' | \'\\\'\' | \'(\' | \'[\';",,,,
2698,"Suffix:     \'\\u00AF\' | \'\\u002d\' | \'.\' | \',\' | \':\' | \';\' | \'!\' | \'?\' | \'""\' | \'\\\'\' | \')\' | \']\';",,,,
2699,Special:    [\\u005e\\u00ac/&{}*~];,,,,
2700,The error produced when running says:,,,,
2701,line 2:40 extraneous input \'\,,,,
2702,"\' expecting {<EOF>, Word, NormalNumbers, \'",,,,
2703,My (test) input: ,,,,
2704, Something- and Somethingmore at location,,,,
2705, Located Somewhere,,,,
2706," Dallas, 2012",,,,
2707, at. 99.2013(2014),,,,
2708, Some bla blub Text- and Content Examples from Wikipedia The Illinois,,,,
2709,  Centennial half dollar is a commemorative fifty-cent piece struck  by,,,,
2710,"  the United States Bureau of the Mint in 1918. The obverse side,",,,,
2711,"  depicting  Abraham Lincoln, was designed by Chief Engraver George T.",,,,
2712,"  Morgan; the reverse  image, based on the Seal of Illinois, was done by",,,,
2713,"  his assistant and successor,  John R. Sinnock.",,,,
2714,"In any way, how can a unused rule (testRule) interfere with the rest? And how is the error message caused, that is shown?",,,,
2715,Thanks for an hints!,,,,
2716, Two methods have the same signature if they have the same name and,,,,
2717,  argument types.,,,,
2718,"Due to the java specification I know, that we cannot have two methods with the same name, have same parameter types, but different return type. In other words it is impossible to overload functions with different return type. ",,,,
2719,Lets consider I have got two methods:,,,,
2720,Method1:  get(String s) return ObjectA;,,,,
2721,Method2: get(String s) return ObjectB;,,,,
2722,The error will occure due to duplicate of method. I tried to resolve it using generics:,,,,
2723,T get(String s) return (T) Object;,,,,
2724,"Now I can call function, using for example:",,,,
2725,"ObjectA = (ObjectA) get(""FooBar"");",,,,
2726,And it works.,,,,
2727,"But the problem is, I would like to return particular object without casting it in the \'main\' so ",,,,
2728,"ObjectA = get(""FooBar""); ",,,,
2729,instead of ,,,,
2730,"ObjectA = (ObjectA) get(""FooBar"");",,,,
2731,"Is there any trick, to discriminate functions by return type? Maybe add another parameter? Use interface? I simply have no idea how to solve this problem in Java. ",,,,
2732,"I found a \'trick\' in C++, so it can be made in other languages.",,,,
2733,Function overloading by return type?,,,,
2734,['I would like to monitor the following system information in Java:,,,,
2735,Current CPU usage** (percent),,,,
2736,Available memory* (free/total),,,,
2737,Available disk space (free/total),,,,
2738,"*Note that I mean overall memory available to the whole system, not just the JVM.",,,,
2739,"I\'m looking for a cross-platform solution (Linux, Mac, and Windows) that doesn\'t rely on my own code calling external programs or using JNI. Although these are viable options, I would prefer not to maintain OS-specific code myself if someone already has a better solution.",,,,
2740,"If there\'s a free library out there that does this in a reliable, cross-platform manner, that would be great (even if it makes external calls or uses native code itself).",,,,
2741,Any suggestions are much appreciated.,,,,
2742,"To clarify, I would like to get the current CPU usage for the whole system, not just the Java process(es).",,,,
2743,"The SIGAR API provides all the functionality I\'m looking for in one package, so it\'s the best answer to my question so far. However, due it being licensed under the GPL, I cannot use it for my original purpose (a closed source, commercial product). It\'s possible that Hyperic may license SIGAR for commercial use, but I haven\'t looked into it. For my GPL projects, I will definitely consider SIGAR in the future.",,,,
2744,"For my current needs, I\'m leaning towards the following:",,,,
2745,"For CPU usage, OperatingSystemMXBean.getSystemLoadAverage() / OperatingSystemMXBean.getAvailableProcessors() (load average per cpu)",,,,
2746,"For memory, OperatingSystemMXBean.getTotalPhysicalMemorySize() and OperatingSystemMXBean.getFreePhysicalMemorySize()",,,,
2747,"For disk space, File.getTotalSpace() and File.getUsableSpace()",,,,
2748,"The getSystemLoadAverage() and disk space querying methods are only available under Java 6. Also, some JMX functionality may not be available to all platforms (i.e. it\'s been reported that getSystemLoadAverage() returns -1 on Windows).",,,,
2749,"Although originally licensed under GPL, it has been changed to Apache 2.0, which can generally be used for closed source, commercial products.",,,,
2750,['I recently stumbled upon this question in a couple of interviews. It goes as following:,,,,
2751,"You have a list of stream of numbers that you can read from asynchronously. Given a write stream for the consumer, how would you read the numbers from the streams, merge and sort them, and finally write to an output stream?",,,,
2752," 1. stream 1: 1, 2, 3, 4...",,,,
2753," 2. stream 2: 1, 2, 3, 4, 5...",,,,
2754,"Output: 1, 1, 2, 2, 3, 3, 4, 4, 5....",,,,
2755,We can assume the contract is as following:,,,,
2756,final class Stream {,,,,
2757,   public interface boolean isClosed();,,,,
2758,   public interface int read();,,,,
2759,// utility method to write numbers to consumer stream,,,,
2760,public void write(Integer number);,,,,
2761,"My initial thoughts about this question was that its similar to LRU cache buffer. However, there are 2 problems with this:",,,,
2762,How do you merge and maintain the order and synchronization of read streams?,,,,
2763,"How do you make sure the numbers are written without any delay? As once the write is performed, the write order can no longer be ensured for any further numbers in the stream?",,,,
2764,I am sure there is a caveat here that I have misinterpreted or missed out completely. Any help on this would be great. Thanks.,,,,
2765,"['In the Spring Boot, Spring Data JPA project, I have an entity class named Country with few columns. I generated changelog and applied it with the following commands",,,,
2766,$ mvn process-test-resources,,,,
2767,$ mvn process-resources,,,,
2768,It created tables using liquibase and liquibase-hibernate5 plugins ,,,,
2769,package com.liquibasedemo.model;,,,,
2770,import com.fasterxml.jackson.annotation.JsonIgnore;,,,,
2771,import lombok.Data;,,,,
2772,import javax.persistence.*;,,,,
2773,"=TABLE(name = ""country"")",,,,
2774,public class Country,,,,
2775,"    @Column(name = ""id"")",,,,
2776,    @GeneratedValue(strategy = GenerationType.IDENTITY),,,,
2777,    private Long id;,,,,
2778,"    @Column(name = ""name"")",,,,
2779,    private String name;,,,,
2780,"    @Column(name = ""code"")",,,,
2781,    private String code;,,,,
2782,"    @Column(name = ""iso_code"")",,,,
2783,    private String isoCode;,,,,
2784,"    @Column(name = ""test_code"")",,,,
2785,    private String testCode;,,,,
2786,"    @JoinColumn(name = ""region_id"")",,,,
2787,    private Region region;,,,,
2788,"I updated testCode column data type from Long to String in Country class and used the above commands to generate changeset. After applying changeset, the datatype remains unchanged. Here is the pom.xml file",,,,
2789,"<?xml version=""1.0"" encoding=""UTF-8""?>",,,,
2790,"<project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""",,,,
2791,"         xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd"">",,,,
2792,        <relativePath/> <!-- lookup parent from repository -->,,,,
2793,    <description>Liquibase Demo project with Spring Boot and Spring Data</description>,,,,
2794,['I have a dropwizard based application that starts a web page with an iframe.,,,,
2795,"<iframe id=""someId"" name=""someName""></iframe>",,,,
2796,Simple so far. Everytime I navigate to my url there\'s an iframe which does nothing. I want to dynamically set a src attribute for this iframe through a rest API call from the backend. Basically this allows me to use some java code to return html that reads the id of this iframe and sets a src.,,,,
2797,"    private String html = ""<html>\",,,,
2798,"    + ""<script type=\\""text/javascript\\"">\",,,,
2799,"    + ""function myFunction () {\",,,,
2800,"    + ""var iframe = window.parent.document.getElementById""",,,,
2801,"    + ""(\\""someId\\"");\",,,,
2802,"    + ""    iframe.src = \\""https://localhost:9999/api/someApi\\""\",,,,
2803,"    + ""}\",,,,
2804,"    + ""window.onload = setTimeout(myFunction, 10000);\",,,,
2805,"    + ""</script>\",,,,
2806,"    + ""</html>"";",,,,
2807,public Response invokeFrame(),,,,
2808,    return Response.ok(html).build();,,,,
2809,"When I make this API call, it returns html that finds the iframe and sets a src. But this doesn\'t work because when the API is called, it redirects me to a blank page (away from my webpage which contains the iframe), so window.parent.document.getElementById does not read the iframe. Instead it\'s null. Is there a quick/dirty way to prevent redirection and stay on my page so that the iframe src can be changed?",,,,
2810,"['I\'ve read a lot of posts about this, but I cannot get it to work.",,,,
2811,I need a textView (id - datumprikaz ) to show the current date like this: 28.11.2016.,,,,
2812,I\'ve managed to add the date using this method in my java:,,,,
2813,protected void onCreate(Bundle savedInstanceState) {,,,,
2814,    TextView dateView = (TextView)findViewById(R.id.datumprikaz);,,,,
2815,public void setDate (TextView view){,,,,
2816,"    String str = String.format(""%tc"", new Date());",,,,
2817,The problem is I get as a result: Fri Oct 28 19:57:37 GMT,,,,
2818,And I just need it to show the current date like 28.11.2016.,,,,
2819,How do I do this ? ,,,,
2820,I\'ve tried another method with ,,,,
2821,    String trenutniDatum = DateFormat.getDateTimeInstance().format(new Date());,,,,
2822,    datumprikaz textView = (datumprikaz) findViewById(R.id.datumprikaz);,,,,
2823,But the setText is red and won\'t work.,,,,
2824,How do I get this ? 28.11.2016 in a textView with the id datumprikaz,,,,
2825,['I want to run a distinct query in mongo db using the spring framework java API. The query is something  like this :,,,,
2826,How do I create the Query object for the above. Below is a bad try.,,,,
2827,import org.springframework.data.mongodb.core.query.Query;,,,,
2828,"public List<Location> getLocations(int skipCount, int pageSize) ",,,,
2829,"        Query query = new Query(Criteria.where(""state"").is(""distinct);",,,,
2830,"        return mongoOperations.find(query, Location.class);",,,,
2831,"         Don\'t want to do the below, as using Mao Pattern  --",,,,
2832,"         DBCollection collection = db.getCollection(""location"");",,,,
2833,         DBObject o1 = new BasicDBObject();,,,,
2834,"         List list = collection.distinct(""state"", o1);",,,,
2835,         return list;,,,,
2836,['In Python if you want to print a string representation of a class\'s attributes you would define something like ,,,,
2837,class building:,,,,
2838,"   def __init__(self,type,height):",,,,
2839,       self.type = type,,,,
2840,       self.height = height,,,,
2841,    def __str__():,,,,
2842,"        return ""i am a %s and i am {:%.1f} meters tall"", (type,height)",,,,
2843,hospital = Building(),,,,
2844,"hospital.type = ""Medical Facility""",,,,
2845,hospital.height = 30,,,,
2846,>>> i am a Medical Facility and i am 30.0 meters tall,,,,
2847,Does java have the equivalent of a python __str__? If not how can I achieve the output above?,,,,
2848,"['takeAmount and addAmount is simply to add/sub value from balanceAccount(eg. add 11,12...,20 or add 101,102...,110). balanceAccount have two version one is using synchronized function and other is using synchronized block.",,,,
2849,Is that any different between BalanceAccount_synchronizedBlock and BalanceAccount_synchronizedFunction?,,,,
2850,"Indeed BalanceAccount_synchronizedFunction always return 0, while BalanceAccount_synchronizedBlock doesn\'t.",,,,
2851,And...why it will show different behavior?,,,,
2852,public class mainStart {,,,,
2853,    public static void main(String args[]) ,,,,
2854,        for (int i=1;i<3000;i=i+10),,,,
2855,            new Thread(new addAmount(i)).start();,,,,
2856,            new Thread(new takeAmount(i)).start();,,,,
2857,        try {,,,,
2858,        } catch (InterruptedException e) {,,,,
2859,class takeAmount implements Runnable {,,,,
2860,    private int startFrom;,,,,
2861,    public takeAmount(int start),,,,
2862,    public void run() ,,,,
2863,        for (int i=startFrom;i<startFrom+10;i++),,,,
2864,class addAmount implements Runnable {,,,,
2865,    private int startFrom;,,,,
2866,    public addAmount(int start),,,,
2867,    public void run() ,,,,
2868,        for (int i=startFrom;i<startFrom+10;i++),,,,
2869,public class BalanceAccount_synchronizedBlock {,,,,
2870,    public static Integer amount=0;,,,,
2871,    public static void add(int a),,,,
2872,        synchronized (amount),,,,
2873,            amount = amount + a;,,,,
2874,    public static void sub(int a),,,,
2875,        synchronized (amount),,,,
2876,            amount = amount - a;,,,,
2877,    public synchronized static void printAmount(),,,,
2878,"        System.out.println(""Amount "" + amount);",,,,
2879,public class BalanceAccount_synchronizedFunction {,,,,
2880,    public static Integer amount=0;,,,,
2881,    public synchronized static void add(int a),,,,
2882,            amount = amount + a;,,,,
2883,    public synchronized static void sub(int a),,,,
2884,            amount = amount - a;,,,,
2885,    public synchronized static void printAmount(),,,,
2886,"        System.out.println(""Amount "" + amount);",,,,
2887,"['I have a piece of code in my android app that catches one exception and rethrows it as another, custom exception extended from RuntimeException. And it seems impossible to be tested.",,,,
2888,Take a look at the following code:,,,,
2889, try { ... } catch (MalformedURLException e) {,,,,
2890,"     throw new CustomMalformedDataException(downloadUrlString, e);",,,,
2891,"When I try to test the exception case, I write:",,,,
2892,@Test(expected = CustomMalformedDataException.class),,,,
2893,public void exceptionsTest() throws Exception {,,,,
2894,    <code triggering the exception>,,,,
2895,But i get Test running failed: Instrumentation run failed due to \'java.net.MalformedURLException\',,,,
2896,When I write:,,,,
2897,@Test(expected = MalformedURLException.class),,,,
2898,public void exceptionsTest() throws Exception {,,,,
2899,    <code triggering the exception>,,,,
2900,"I get java.lang.Exception: Unexpected exception, expected<java.net.MalformedURLException> but was<CustomMalformedDataException>",,,,
2901,So how should I test this case?,,,,
2902,Code of exception class: ,,,,
2903,public class CustomMalformedDataException extends RuntimeException {,,,,
2904,"    public CustomMalformedDataException(String message, Throwable cause) {",,,,
2905,"        super(message, cause);",,,,
2906,"    public CustomMalformedDataException(String url, MalformedURLException cause) {",,,,
2907,"        super(""The package has an invalid \\""downloadUrl\\"": "" + url, cause);",,,,
2908,"UPDATE: It seems that either way tests stop execution at the point where the initial exception is thrown, even though it is caught. But in case this exception is expected, the execution continues and throws another exception, which is already not expected.",,,,
2909,['I have a JDBC program which connects to my local system postgresql DB.,,,,
2910,"Connection con=DriverManager.getConnection(""jdbc:postgresql://localhost:5432/LOCATIONS_INFO"",""postgres"",""password"");",,,,
2911,"System.out.println(""Connection Created"");",,,,
2912,This executes successfully. I also want to connect to a postgresql database which is on another system in the same LAN. When I replace localhost with the IP of the other system which i want to connect I get an exception.,,,,
2913,Please help me how to achieve the connection. ,,,,
2914,"['In my app i am trying to upload an image on grails server, problem is that converting the image into base 64 format is not getting accepted at the back end, server developer says it should not be in multipart form. Here is my code:",,,,
2915,     ArrayList<NameValuePair> nameValuePairs = new  ArrayList<NameValuePair>();,,,,
2916,     Bitmap bitmap = BitmapFactory.decodeFile(imagePath);           ,,,,
2917,     ByteArrayOutputStream stream = new ByteArrayOutputStream();,,,,
2918,"     bitmap.compress(Bitmap.CompressFormat.PNG, 90, stream); //compress to which format you want.",,,,
2919,     byte [] byte_arr = stream.toByteArray();,,,,
2920,"     String image_str = Base64.encodeToString(byte_arr,Base64.DEFAULT);",,,,
2921,"     nameValuePairs.add(new BasicNameValuePair(""fileupload"",image_str));",,,,
2922,"     nameValuePairs.add(new BasicNameValuePair(""message"", ""trial""));",,,,
2923,         HttpClient httpclient = new DefaultHttpClient();,,,,
2924,         HttpPost httppost = new HttpPost(serverURL);,,,,
2925,         httppost.setEntity(new UrlEncodedFormEntity(nameValuePairs));,,,,
2926,         HttpResponse response = httpclient.execute(httppost);,,,,
2927,"         Log.i(TAG, "" http reponse is:"" +response);",,,,
2928,     }catch(Exception e){,,,,
2929,"           System.out.println(""Error in http connection ""+e.toString());",,,,
2930,['I\'m trying to send strings to a server from a client but it doesn\'t seem to be reading from the input stream.,,,,
2931,Scanner scanner = new Scanner(System.in);,,,,
2932,"Socket connection = new Socket(""localhost"", 13)",,,,
2933,OutputStream out = connection.getOutputStream();,,,,
2934,while(true) {,,,,
2935,    String message = scanner.nextLine();,,,,
2936,"    IOUtils.write(message, out, ""UTF-8"");",,,,
2937,Server ,,,,
2938,"ServerSocket server = new ServerSocket(localhost,13);~",,,,
2939,Socket connection = server.accept();,,,,
2940,InputStream in = connection.getInputStream();,,,,
2941,StringWriter writer = new StringWriter();,,,,
2942,while(true) {,,,,
2943,    try {,,,,
2944,"        IOUtils.copy(in, writer);",,,,
2945,    } catch(IOException io) {},,,,
2946,It reads if I close the stream from the client\'s outputstream but I am trying to send multiple messages from the client to the server. Could someone please help,,,,
2947,"[""I have looked abstraccollection and have found that containsAll method iterates through whole collection.",,,,
2948,Why this method doesn't check a size for collections? In case when main collection has only one element  and a target collection has 100000 elements the performance will be decreased.,,,,
2949,Also ArrayList has overridden method isEmpty that compare the list's size and 0. Why this method was overridden and overridden with such implementation? The AbstractCollection has almost the same implementation.,,,,
2950,Thanks a lot,,,,
2951,['Can you explain the following code. ,,,,
2952,"I do understand classes , methods in JAVA. I am not able to understand this in android.",,,,
2953,  public class MainActivity extends Activity,,,,
2954,   protected void onCreate(Bundle savedInstanceState) ,,,,
2955,['A puzzle from this blog. Similar to SO1445233.,,,,
2956,"Given the following source listing, explain why the compiler is producing a warning at invocation to the list method and give a solution for removing the warning without resorting to @SuppressWarnings annotation.",,,,
2957,public class JavaLanguagePuzzle3 {,,,,
2958,  public static void main(String[] args) {,,,,
2959,"    list(""1"", 2, new BigDecimal(""3.5""));",,,,
2960,  private static <T> List<T> list(T... items) {,,,,
2961,    return Arrays.asList(items);,,,,
2962,Type safety: A generic array of Object&Serializable&Comparable<?> is created for a varargs parameter,,,,
2963,"['I\'ve been working on this program for a few days now and I\'ve implemented a few of the primary methods in my BinarySearchTree class such as insert and delete. Insert seemed to be working fine, but once I try to delete I kept getting errors. So after playing around with the code I wanted to test my compareTo methods. I created two new nodes and tried to compare them and I get this  error:",,,,
2964,"Exception in thread ""main"" java.lang.ClassCastException: TreeNode cannot be cast to java.lang.Integer",,,,
2965,    at java.lang.Integer.compareTo(Unknown Source),,,,
2966,    at TreeNode.compareTo(TreeNode.java:16),,,,
2967,    at BinarySearchTree.myComparision(BinarySearchTree.java:177),,,,
2968,    at main.main(main.java:14),,,,
2969,Here is my class for creating the nodes:,,,,
2970,    public class TreeNode<T> implements Comparable,,,,
2971,"        protected TreeNode<T> left, right;",,,,
2972,        protected Object element;,,,,
2973,    public TreeNode(Object obj),,,,
2974,   public int compareTo(Object node),,,,
2975,       return ((Comparable) this.element).compareTo(node);,,,,
2976,Am I doing the compareTo method all wrong? I would like to create trees that can handle integers and strings (seperatly of course),,,,
2977,"['I am trying to write the results of some computation directly to a file, using the java-bindings from open-mpi. I know it does not sound very ""high-performance"", but in my eyes it seems the easiest (and surest) way not to have to start all over again when I don\'t manage to finish my computations. ",,,,
2978,My code to write to the file looks as follows:,,,,
2979,private Iterator<Object> writeAndCalculate(Iterator<Object> it) {,,,,
2980,    int mode = MPI.MODE_WRONLY | MPI.MODE_CREATE | MPI.MODE_APPEND;,,,,
2981,"    try(mpi.File file = new mpi.File(MPI.COMM_WORLD, getFileName(), mode)) {",,,,
2982,        Code code;,,,,
2983,        long result;,,,,
2984,        int counter = 0;,,,,
2985,        while(it.hasNext()) {,,,,
2986,            Object o = it.next();,,,,
2987,            if(counter++ == myRank) {,,,,
2988,"                byte[] buf = serialize(new Pair<Code, Long>(code, result);",,,,
2989,"                file.writeShared(buf, buf.length, MPI.BYTE);",,,,
2990,            if(counter == nrOfProcessors) ,,,,
2991,                counter = 0;,,,,
2992,    } catch (MPIException mpie) {,,,,
2993,    return it;,,,,
2994,where serialize(Serializable)looks like:,,,,
2995,private byte[] serialize(Serializable object) {,,,,
2996,    ByteArrayOutputStream baos = new ByteArrayOutputStream();,,,,
2997,    try(ObjectOutputStream oos = new ObjectOutputStream(baos)) {,,,,
2998,    catch (IOException ioe) {,,,,
2999,    return baos.toByteArray();,,,,
3000,I also got some code to deserialize:,,,,
3001,private Object deserialize(byte[] buf) throws ClassCastException {,,,,
3002,    ByteArrayInputStream bis = new ByteArrayInputStream(buf);,,,,
3003,    try(ObjectInputStream ois = new ObjectInputStream(bis)) {,,,,
3004,        return ois.readObject();,,,,
3005,    } catch (IOException ioe) {,,,,
3006,    } catch (ClassNotFoundException cnfe) {,,,,
3007,    return null;,,,,
3008,"The problem arises when I want to read the objects again, because I don\'t find how I could deserialize all objects in the file. I was trying to find something like:",,,,
3009,"private SortedMap<Code, Long> read() {",,,,
3010,"    SortedMap<Code, Long> result = new TreeMap<>();",,,,
3011,"    try(mpi.File file = new mpi.File(MPI.COMM_WORLD, getFileName(), MPI.MODE_RDONLY)) {",,,,
3012,        byte[] buf = new byte[(int) file.getSize()];,,,,
3013,"        file.readAll(buf, buf.length, MPI.BYTE);",,,,
3014,        while(/*part of buf not read*/) {,,,,
3015,"            Pair<Code, Long> pair = deserialize(buf);",,,,
3016,"            result.merge(pair.getKey(), pair.getValue(), (v1, v2) -> v1 + v2);",,,,
3017,    } catch (MPIException e) {,,,,
3018,    return result;,,,,
3019,"but I have no idea how to find out what part of my buffer has been read and which part still contains objects. I had an idea to make deserialize(byte[]) overwrite the values that have been read, but I have no idea on how to do something like that either.",,,,
3020,"Because I already spent hours on it, I am getting quite desperate and I would appreciate any help to make me see the light. If anybody could suggest better ways to write everything to one file from multiple processors simultaneously, feel free to leave suggestions. ",,,,
3021,"I\'m sorry for the long question, but all I need is some way to store (part of) the SortedMap that is the result from concurrent computation. This should be done in such way that when computations are cancelled or interrupted, I can start on from the point computation has stopped.",,,,
3022,"['As you can see, after every text comes a tab, everything is working fine, but after third tab (see output) it generates a space not a tab.",,,,
3023,"fileWriter = new FileWriter(indexFile, true);",,,,
3024,"fileWriter.append(postal.toUpperCase()).append(""\\t""); <-- this one",,,,
3025,My output:,,,,
3026,00000347    1   1   FB-6666 DUMMY STREET 1 LAT,,,,
3027,"The problem comes after ""FB-6666"".",,,,
3028,Any ideas on this?,,,,
3029,['I try query join tow table customer and mainorder table . when i query always error,,,,
3030,package com.mdr.model;,,,,
3031,import java.util.List;,,,,
3032,import java.util.Set;,,,,
3033,import javax.persistence.CascadeType;,,,,
3034,//import java.io.Serializable;,,,,
3035,import javax.persistence.Column;,,,,
3036,import javax.persistence.Entity;,,,,
3037,import javax.persistence.GeneratedValue;,,,,
3038,import javax.persistence.GenerationType;,,,,
3039,import javax.persistence.Id;,,,,
3040,import javax.persistence.JoinColumn;,,,,
3041,import javax.persistence.OneToMany;,,,,
3042,import javax.persistence.Table;,,,,
3043, * @author Sothon,,,,
3044,"=TABLE(name = ""customer"")",,,,
3045,public class Customer{,,,,
3046,    private long id;,,,,
3047,    private String name;,,,,
3048,    private String person;,,,,
3049,    private String mail;,,,,
3050,    private int packFlg;,,,,
3051,    public long getId() {,,,,
3052,        return id;,,,,
3053,    public void setId(long id) {,,,,
3054,        this.id = id;,,,,
3055,    public String getName() {,,,,
3056,        return name;,,,,
3057,    public void setName(String name) {,,,,
3058,        this.name = name;,,,,
3059,    public String getPerson() {,,,,
3060,        return person;,,,,
3061,    public void setPerson(String person) {,,,,
3062,        this.person = person;,,,,
3063,    public String getMail() {,,,,
3064,        return mail;,,,,
3065,    public void setMail(String mail) {,,,,
3066,        this.mail = mail;,,,,
3067,    private List<MainOrder> mainOrder;,,,,
3068,    public List<MainOrder> getMaiOrder() {,,,,
3069,        return mainOrder;,,,,
